"Collecteur","N°Famille","Famille","N°Genre","N°Espèce","Genre","Espèce","date récolte","Auteur","N° scan","Subsp.","Nb spécimens","Partie conservée","Intégrité","Etat","Dpt","Nom Dpt","Commune","Lieu dit","Lieu récolte","Habitat","remarques","remarques perso","Nom latin"
"Diard",1,"Lycopodiaceae",1,1,"Lycopodium","clavatum","10/1873","L.","0001_DIARD",,1,"appareil végétatif","complet","B",44,"Loire-Atlantique","La Chapelle-sur-Erdre","Les Vardières","Les Vardières près du pont de Massigné",,,,"Lycopodium clavatum L."
"Diard",1,"Lycopodiaceae",1,2,"Lycopodium","inundatum","26/07/1874","L.","0002_DIARD",,9,"plante entière","complet;débris","TB",44,"Loire-Atlantique","Sévérac","Le Petit Rocher","Marais du Petit Rocher entre Séverac et Dolay","Marais",,,"Lycopodium inundatum L."
"Diard",1,"Aspleniaceae",12,43,"Grammitis","ceterach","08/07/1866",,"0043_DIARD",,1,"plante entière","complet","B",44,"Loire-Atlantique",,,"Les Herbières",,,"Ceterach officinarum Polypodiaceae","Grammitis ceterah"
"Diard",1,"Pteridaceae",,,"Pteris","cretica","19/04/1889",,"XX_0001_DIARD",,2,"feuilles","complet","B",44,"Loire-Atlantique","Nantes",,"Serres du Jardin des Plantes",,,"plante non retrouvée sur la flore","Pteris cretica"
"Diard",2,"Isoetaceae",1,4,"Isoetes","hystrix","s.d.","Bory","0004_DIARD",,3,"appareil végétatif","complet","B",56,"Morbihan","(Belle-Ile)",,"Belle Ile",,"Mr Lloyd",,"Isoetes hystrix Bory"
"Diard",2,"Isoetaceae",1,5,"Isoetes","echinospora","17/07/1870","Dur.","0005_DIARD",,32,"appareil végétatif","complet","B",44,"Loire-Atlantique","St Aignan-Grandlieu",,"Lac de Grand Lieu près de St Aignan",,,,"Isoetes echinospora Dur."
"Figureau",3,"Alismataceae",1,7,"Equisetum","arvense",26/07/1974,"L.","0007_FIGUREAU",,10,"plante entière","complet","TB",44,"Loire-Atlantique","Saffré",,"Saffré","Sol calcaire argileux humide",,,"Equisetum arvense L."
"Diard",3,"Equisetaceae",1,8,"Equisetum","telmateia","07/06/1868","Ehrh.","0008_(1)_DIARD",,3,"tige stérile","incomplet","B",44,"Loire-Atlantique","Machecoul","Les Prises","Les Prises à Machecoul",,,,"Equisetum telmateia Ehrh."
"Diard",3,"Equisetaceae",1,8,"Equisetum","telmateia","31/05/1870","Ehrh.","0008_(2)_DIARD",,1,"tige stérile","incomplet","TB",44,"Loire-Atlantique","La-Chapelle-Heulin","Les Cléons","Les Cléons",,,,"Equisetum telmateia Ehrh."
"Diard",3,"Equisetaceae",1,10,"Equisetum","palustre","10/09/1871","L.","0010_DIARD",,2,"plante entière","complet","B",44,"Loire-Atlantique","Indre","Haute-Indre","Haute-Indre",,,,"Equisetum palustre L."
"Diard",3,"Equisetaceae",1,13,"Equisetum","ramosum","08/08/1869","Schl.","0013_(1)_DIARD",,3,"tige","incomplet","M",44,"Loire-Atlantique","Le Cellier","Clermont-sur-Loire","Clermont",,,"ne ressemble pas à E. ramosum","Equisetum ramosum Schl."
"Figureau",3,"Equisetaceae",1,13,"Equisetum","ramosum",26/04/1974,"Schl.","0013_FIGUREAU",,6,"plante entière","complet","TB",44,"Loire-Atlantique","Saffré",,"Saffré","Bord des eaux calcaires",,,"Equisetum ramosum Schl."
"Diard",4,"Ophioglossaceae",1,14,"Ophioglossum","vulgatum","26/04/1868","L.","0014_(1)_DIARD",,11,"plante entière + partie aérienne + infrutescence","complet","B",44,"Loire-Atlantique","Le Pallet","Moulin de Boischaudeau",,,,,
